,Unnamed: 0,id,group
0,0,AATF,mRNA
1,1,CDKN1A,mRNA
2,2,KLK3,mRNA
3,3,MYC,mRNA
4,4,TP53,mRNA
5,5,ABL1,mRNA
6,6,BAX,mRNA
7,7,BCL2,mRNA
8,8,BCL6,mRNA
9,9,CCND2,mRNA
10,10,CSF1,mRNA
11,11,FOXO3,mRNA
12,12,JUN,mRNA
13,13,PIM1,mRNA
14,14,AES,mRNA
15,15,EPHA3,mRNA
16,16,LEF1,mRNA
17,17,RND3,mRNA
18,18,AHR,mRNA
19,19,ABCG2,mRNA
20,20,AHRR,mRNA
21,21,ARNT,mRNA
22,22,BRCA1,mRNA
23,23,CA9,mRNA
24,24,CCND1,mRNA
25,25,CCNG2,mRNA
26,26,CYP1A1,mRNA
27,27,CYP1A2,mRNA
28,28,CYP1B1,mRNA
29,29,CYP2B6,mRNA
30,30,FOS,mRNA
31,31,IL13,mRNA
32,32,IL1B,mRNA
33,33,IL6,mRNA
34,34,MFSD2A,mRNA
35,35,MT2A,mRNA
36,36,PCNA,mRNA
37,37,RFC3,mRNA
38,38,UGT1A1,mRNA
39,39,UGT1A6,mRNA
40,40,AIP,mRNA
41,41,GREB1,mRNA
42,42,NFKB2,mRNA
43,43,RSF1,mRNA
44,44,TFF1,mRNA
45,45,AIRE,mRNA
46,46,CHRNA1,mRNA
47,47,ANKRD1,mRNA
48,48,NPPA,mRNA
49,49,APBB1,mRNA
50,50,GMPS,mRNA
51,51,APC,mRNA
52,52,AKT1,mRNA
53,53,AMHR2,mRNA
54,54,BIRC5,mRNA
55,55,DLG1,mRNA
56,56,DNMT1,mRNA
57,57,F8,mRNA
58,58,KLF4,mRNA
59,59,NOS2,mRNA
60,60,ODC1,mRNA
61,61,PTGS2,mRNA
62,62,SGK1,mRNA
63,63,APEX1,mRNA
64,64,CCL2,mRNA
65,65,CD19,mRNA
66,66,CYP11B2,mRNA
67,67,NFKB1,mRNA
68,68,PTH,mRNA
69,69,RELA,mRNA
70,70,SLC5A5,mRNA
71,71,AR,mRNA
72,72,ACTA1,mRNA
73,73,AKR1C3,mRNA
74,74,ALDH1A3,mRNA
75,75,ARG1,mRNA
76,76,ARG2,mRNA
77,77,ATAD2,mRNA
78,78,BSG,mRNA
79,79,BTG1,mRNA
80,80,BTG2,mRNA
81,81,CDK20,mRNA
82,82,CDC6,mRNA
83,83,CDH1,mRNA
84,84,CDH11,mRNA
85,85,CDH2,mRNA
86,86,CDK6,mRNA
87,87,CLK3,mRNA
88,88,CRH,mRNA
89,89,CRISP1,mRNA
90,90,CRISP3,mRNA
91,91,CTNNB1,mRNA
92,92,CYP7B1,mRNA
93,93,EGFR,mRNA
94,94,ELK4,mRNA
95,95,EP300,mRNA
96,96,ERBB2,mRNA
97,97,ERBB3,mRNA
98,98,ETV1,mRNA
99,99,FKBP4,mRNA
100,100,FN1,mRNA
101,101,FOLH1,mRNA
102,102,FOXA1,mRNA
103,103,GNMT,mRNA
104,104,GTF2F1,mRNA
105,105,HMMR,mRNA
106,106,HMOX1,mRNA
107,107,IFI16,mRNA
108,108,IGF1R,mRNA
109,109,IGFBP3,mRNA
110,110,KISS1,mRNA
111,111,KISS1R,mRNA
112,112,KLF5,mRNA
113,113,KLK1,mRNA
114,114,KLK2,mRNA
115,115,KLK4,mRNA
116,116,MED1,mRNA
117,117,MID1,mRNA
118,118,MUC1,mRNA
119,119,NAT1,mRNA
120,120,NDRG1,mRNA
121,121,NKX3-1,mRNA
122,122,NOV,mRNA
123,123,NRAS,mRNA
124,124,PC,mRNA
125,125,PSCA,mRNA
126,126,PEBP1,mRNA
127,127,PIGR,mRNA
128,128,PIP,mRNA
129,129,PMEPA1,mRNA
130,130,PNRC1,mRNA
131,131,PTEN,mRNA
132,132,PTPN1,mRNA
133,133,REST,mRNA
134,134,SEPT7,mRNA
135,135,SERPINB5,mRNA
136,136,SESN1,mRNA
137,137,SRD5A3,mRNA
138,138,STIM1,mRNA
139,139,TBP,mRNA
140,140,TCF7L2,mRNA
141,141,TGFA,mRNA
142,142,TH,mRNA
143,143,TJP1,mRNA
144,144,TMPRSS2,mRNA
145,145,TRPS1,mRNA
146,146,TSC1,mRNA
147,147,TSC2,mRNA
148,148,UCN,mRNA
149,149,UGT2B15,mRNA
150,150,USP26,mRNA
151,151,VEGFA,mRNA
152,152,VIM,mRNA
153,153,WEE1,mRNA
154,154,WNT7B,mRNA
155,155,XIAP,mRNA
156,156,ARID1A,mRNA
157,157,IGH,mRNA
158,158,SMAD3,mRNA
159,159,ARID1B,mRNA
160,160,ARID3A,mRNA
161,161,CDK1,mRNA
162,162,CR2,mRNA
163,163,E2F1,mRNA
164,164,PML,mRNA
165,165,RBL1,mRNA
166,166,BHLHE40,mRNA
167,167,CCNE1,mRNA
168,168,CDK2,mRNA
169,169,CTSD,mRNA
170,170,EGLN2,mRNA
171,171,EPO,mRNA
172,172,ESR1,mRNA
173,173,GAD1,mRNA
174,174,HIF1A,mRNA
175,175,RELB,mRNA
176,176,ARNTL,mRNA
177,177,CRY1,mRNA
178,178,CRY2,mRNA
179,179,PER1,mRNA
180,180,PER2,mRNA
181,181,PER3,mRNA
182,182,ARNTL2,mRNA
183,183,SERPINE1,mRNA
184,184,ARX,mRNA
185,185,KDM5C,mRNA
186,186,LMO1,mRNA
187,187,PAX4,mRNA
188,188,SHOX2,mRNA
189,189,ASCL1,mRNA
190,190,CHRNA3,mRNA
191,191,CHRNA5,mRNA
192,192,CHRNB4,mRNA
193,193,DKK1,mRNA
194,194,IGF2,mRNA
195,195,PCSK6,mRNA
196,196,TPH1,mRNA
197,197,ASH1L,mRNA
198,198,TGFB1,mRNA
199,199,TIMP1,mRNA
200,200,ASXL1,mRNA
201,201,FABP4,mRNA
202,202,ATF1,mRNA
203,203,CCNA1,mRNA
204,204,CFTR,mRNA
205,205,CGA,mRNA
206,206,CYP11B1,mRNA
207,207,FLT1,mRNA
208,208,FTH1,mRNA
209,209,GABPA,mRNA
210,210,IL10,mRNA
211,211,LDHA,mRNA
212,212,MAP1LC3B,mRNA
213,213,MITF,mRNA
214,214,MUC2,mRNA
215,215,NTS,mRNA
216,216,PCSK1,mRNA
217,217,PLAUR,mRNA
218,218,SLC20A1,mRNA
219,219,SLC22A8,mRNA
220,220,TGFB2,mRNA
221,221,TOP2A,mRNA
222,222,USP7,mRNA
223,223,ATF2,mRNA
224,224,APOC3,mRNA
225,225,ATF3,mRNA
226,226,DUSP1,mRNA
227,227,DUSP10,mRNA
228,228,FAS,mRNA
229,229,FASLG,mRNA
230,230,KAT5,mRNA
231,231,IFNB1,mRNA
232,232,IFNG,mRNA
233,233,IMPDH2,mRNA
234,234,INS,mRNA
235,235,ITGB8,mRNA
236,236,MAP3K1,mRNA
237,237,MMP2,mRNA
238,238,NOS3,mRNA
239,239,PCK1,mRNA
240,240,PCK2,mRNA
241,241,PLAT,mRNA
242,242,PLAU,mRNA
243,243,POLB,mRNA
244,244,RETN,mRNA
245,245,ST3GAL5,mRNA
246,246,TNF,mRNA
247,247,ADIPOR1,mRNA
248,248,ADIPOR2,mRNA
249,249,AK4,mRNA
250,250,ASNS,mRNA
251,251,CCL5,mRNA
252,252,CD82,mRNA
253,253,DDIT3,mRNA
254,254,GDF15,mRNA
255,255,ID1,mRNA
256,256,PCLAF,mRNA
257,257,LDLR,mRNA
258,258,PENK,mRNA
259,259,SELE,mRNA
260,260,ATF4,mRNA
261,261,APOE,mRNA
262,262,ATG5,mRNA
263,263,BGLAP,mRNA
264,264,CEBPB,mRNA
265,265,CHAC1,mRNA
266,266,CXCL8,mRNA
267,267,DDIT4,mRNA
268,268,DDR2,mRNA
269,269,DISC1,mRNA
270,270,F7,mRNA
271,271,FGF19,mRNA
272,272,FGF21,mRNA
273,273,HRK,mRNA
274,274,HSPA5,mRNA
275,275,IGFBP1,mRNA
276,276,IRF7,mRNA
277,277,MCL1,mRNA
278,278,NDC80,mRNA
279,279,NUPR1,mRNA
280,280,S100P,mRNA
281,281,SIGMAR1,mRNA
282,282,SIRT1,mRNA
283,283,SIRT2,mRNA
284,284,TNFRSF10B,mRNA
285,285,TRIB3,mRNA
286,286,ATF5,mRNA
287,287,CCND3,mRNA
288,288,CREB1,mRNA
289,289,EGR1,mRNA
290,290,SH2D1A,mRNA
291,291,ATF6,mRNA
292,292,ATP2A2,mRNA
293,293,DNAJC3,mRNA
294,294,MAFA,mRNA
295,295,NR0B2,mRNA
296,296,NUCB1,mRNA
297,297,PDX1,mRNA
298,298,RTN3,mRNA
299,299,SRF,mRNA
300,300,STARD4,mRNA
301,301,WBP1,mRNA
302,302,XBP1,mRNA
303,303,ATF7,mRNA
304,304,TAF12,mRNA
305,305,ATM,mRNA
306,306,APLF,mRNA
307,307,CFLAR,mRNA
308,308,FOXM1,mRNA
309,309,GADD45A,mRNA
310,310,KLRK1,mRNA
311,311,MTF1,mRNA
312,312,PBK,mRNA
313,313,PMAIP1,mRNA
314,314,PVR,mRNA
315,315,SLC2A1,mRNA
316,316,SP1,mRNA
317,317,TERF1,mRNA
318,318,ATOH1,mRNA
319,319,HES6,mRNA
320,320,ATRX,mRNA
321,321,HBA1,mRNA
322,322,HBA2,mRNA
323,323,BACH1,mRNA
324,324,MMP1,mRNA
325,325,BACH2,mRNA
326,326,IL2,mRNA
327,327,BARD1,mRNA
328,328,BARX2,mRNA
329,329,BATF,mRNA
330,330,CD2,mRNA
331,331,BCL11A,mRNA
332,332,GATA1,mRNA
333,333,BCL3,mRNA
334,334,CTCF,mRNA
335,335,MYB,mRNA
336,336,BCL2L1,mRNA
337,337,CD80,mRNA
338,338,CDKN2B,mRNA
339,339,CHEK1,mRNA
340,340,FCER2,mRNA
341,341,HDAC7,mRNA
342,342,IRF4,mRNA
343,343,LITAF,mRNA
344,344,PDCD2,mRNA
345,345,STAT3,mRNA
346,346,SUMO1,mRNA
347,347,BDP1,mRNA
348,348,RB1,mRNA
349,349,BHLHE41,mRNA
350,350,MLH1,mRNA
351,351,BIN1,mRNA
352,352,BMI1,mRNA
353,353,TERT,mRNA
354,354,BPTF,mRNA
355,355,HOXC8,mRNA
356,356,AREG,mRNA
357,357,ASPM,mRNA
358,358,BRCA2,mRNA
359,359,CASR,mRNA
360,360,CCNB1,mRNA
361,361,CDH3,mRNA
